title,artist,lyrics,listens,hotness,genres,genius ID,spotify ID
Magazine (Club Mix),Chromatics,"
          
            Lyrics for this song have yet to be released. Please check back once the song has been released.
          
        ",244184,22,['Rock Genius'],4061471,7Lke8wizJKIpMPMuBWAywR
Don't Wanna Go Home,Great Big Sea,"

I don't wanna go home!
Don't bring the lights up, don't ring the bell
Once the whistle has blown;
God only knows when we'll meet here again!

Tell the band not to stop
Tell the curtain, don't drop
Keep the barstool King
High on his throne!
I don't wanna go Home!

Don't wanna leave till it's all said and done
Guess I should have known:
I'd want to stay until we'd seen the sun

It's just the moment to make:
This perfect mistake
Until we spend hours alone
I don't want to go home

It's a matter of fact:
You can never look back
It's a lesson that some never learn
But I won't forget it
I won't be caught treading
On the bridges that I myself burned

[Instrumental Lead-up]

It's a matter of fact:
You can never look back
It's a lesson that some never learn
But I won't forget it
I won't be caught treading
On the bridges that I myself burned

I don't wanna go home!
I've been gone forever, I don't wanna face
All the punches I've thrown
And all the wounded who fueled my escape

Tell the band not to stop
Tell the curtain, don't drop
Keep the barstool King
High on his throne!
'Cause somewhere in the dark
There's a well-broken heart
Who's willing to cast the first stone

I don't want to go home
I don't want to go home
No I don't want to go home
I don't want to go home!

",65877,9,['Pop Genius'],1413955,4LFuJWMayGVPeyjHZ28GLv
Kings Of Tomorrow - Disco Version,BWO,"

Big science
Big science
I'm training to get ready for the role I've been cast
I'm waiting for my signal when the rockets will blast
We still need the heroes who can take to the sky
Let's count down to zero then off we fly
Kings of tomorrow
Crashing the gates
When you follow the arrow
You'll be sealing our fate
Kings of tomorrow
This is your chance
You can beg, steal or borrow
But tonight it's your dance
Big science
I'm finding the resistance as I've been there recurred
I'm keeping the subsistence in my shooting preserve
'Cause we still need the heroes who can take to the sky
So let's count down to zero and then off we fly
Kings of tomorrow
Crashing the gates
When you follow the arrow
You'll be sealing our fate
Kings of tomorrow
This is your chance
You can beg, steal or borrow
But tonight it's your dance
Imagine of the moment
The particle of hoorayed
It's an article of fashion
It's the passion of the crusade
We've been waiting for the heroes who can fly across the sky
We've been counting down to zero and then off we fly
Big science
Big science
Kings of tomorrow
Crashing the gates
When you follow the arrow
You'll be sealing our fate
Kings of tomorrow
This is your chance
You can beg, steal or borrow
But tonight it's your dance
Keep follow arrows then you seal our fate
When you follow arrows then you'll seal our fate
Kings of tomorrow
This is your chance
You can beg, steal or borrow
But tonight it's your dance

",79473,1,['Pop Genius'],1850517,1dIdwlWuABpxoF1JnsNd0X
Afro Shawdy,Desperry,"

[Verse]
How i'm lit
Keep a bic
Need my bitch
Front row of my shit
I'll flex for your hoe, I don't quit
I do not quit, never quit
They wan see me fall with some bitch
Twitter for all of the twits
Wow, wow
Problem child
Need a hoe
On the miles
Need my set
Watered down
Funny niggas
They all clowns

[Bridge]
Wow (Shawdy)
Wow, wow
(Afro Shawdy)
Wow, wow (wow)
Wow
Wow, wow (Shawdy)
Audi, molly
Gem, Dolly
Pull up
Kia
Afro Shawdy

How I feel bout a chick with a fro
African genes gotta boast
SOE
Niggas go ghost
Wonder what happened to you
Dessy & boys we the crew
You talk about us what is new
You cannot get in so move
Do not hit us like ""what is the moves?""
Leave my body
They just want the stick
Bitches always trip
Can't keep them for shit
Niggas not equipped
To do nothing like this
Always diss
Bitching bout some bitch
Bitching over a bitch
I jumped over him
Now he wanna quit
Shawty a melanin queen
Shawty a melanin queen
I think I seen her in my dreams
I think I seen her in my dreams

[Outro]
Hello?

",0,0,['Rap Genius'],3100853,5n62MyK20BJnFpIp08lvKD
Man in Chains,Machine Men,"

I see the real world
Covered with ashes and sorrow
I fall into decay
There is no hope for a better tomorrow
Here I am, again they feed
Me to the poison dream
To the silent dimension

I'm the man in chains
I know the truth, they are so ignorant
I'm the man in chains

Back from the dream world
I lay dormant inside this aquarium
The time running faster
When I come to my senses again
Here I am, again they feed
Me to the poison dream
To the silent dimension

I'm the man in chains
I know the truth, they are so ignorant
I'm the man in chains

And finally I am somewhere
In a different world
Trying to look back in time
I don't have memories at all

I'm the man in chains
I know the truth, they are so ignorant
I'm the man in chains
I know the truth, they are so ignorant
I'm the man in chains

",2201,2,['Pop Genius'],1647786,4wk5hiCvcZqzdYtnQpHg53
Roxy,Blaue Blume,"

What is in your heart that I can't feel, hidden like a sound that hushed in desire?
You're like a lion, erratically you roar, when I circle 'round your cage
What is on your tongue that I can't taste, bubble gum and songs that stuck to your brain?
Humming like a bird, careless but aware
Of when the boys they come around

Let the whole world tonight burn in fire
Oh
Let the whole world ignite and embers fly from the flames of kisses in the sky
How can you forget the summer you said you were in love?
How can you forget the someones in your head you said you loved so much
All of the loves you ever you find them in another heart
I thought I'd lost them all

What is in your eyes that I can't see
A heavy weighing tear that hangs in a chandelier?
Crocodile tears - for crying out loud!
Another boy will come around

Let the whole world tonight burn in fire, oh, let the whole world ignite and embers fly from the flames of kisses in the sky
How can you forget the summer you said you were in love?
How can you forget the someones in your head you said you loved so much
All of the loves you ever lost you find them in another heart
I remember this

I'm swaying on the road, coming to your window on a cold summer night in love for all I know
Drunk to the bone - I guess I should have known
Like butterflies so calmly leave your arm without a trace to find, she left me blind
Roxy, Roxy, Roxy, oh

How can you forget the summer you said you were in love?
How can you forget the someones in your head you said you loved so much
All of the loves you ever lost you find them in another heart
I thought I'd lost them all

All of the love I lost I found it in her heart
Strawberry lips like bait for a wide-eyes mate
A delirious tongue that tastes of orange lemonade, of a burning fate in your name

",220783,7,['Pop Genius'],2961576,05EtBWKNRlwur5zfwxSM90
Goin' All the Way,Danger Danger,"

I don't know what it is but you drive me wild
Could be the way you laugh
Or your crooked smile
You got some kind hold on me and it feels so good
I never felt this way
I never thought I could
We got something they don't understand
So hold on tight, baby, take my hand
'Cos we're going all the way
And there ain't no turning back
Goin' all the way
And no one's changing that

I love the way you love the way you turn me on
Just like bill withers sang
Ain't no sunshine when you're gone
Me and you got a dream for two and it's post time at the track
I'm bettin' it all on us
And I'm never lookin' back

We got something they don't understand
So hold on tight, baby, take my hand
'Cos we're going all the way
And there ain't no turning back
Goin' all the way
And no one's changing that
Goin' all the way

",19181,9,['Pop Genius'],1677108,3CeL0SZpIIChp7hLKFr81X
Spiel mit dem Feuer,Saltatio Mortis,"

Zwischen uns tanzen die Funken
Wie kleine Lichter in der Nacht
Ich hab' mich an dir betrunken
Hab' nicht lange nachgedacht
Mein rasend' Herz beginnt zu flimmern
Ich hab' auf den Moment vertraut
Und du brennst mit Feuerfingern
Mir dein Zeichen in die Haut

Lass uns tanzen einen Reigen
Wie heiße Lava kocht das Blut
Lass uns tanzen endlos weiter
Mit den Flammen auf der Glut
Lass uns tanzen eng umschlungen
Keine Macht, die uns noch trennt
Und wir tanzen in dem Feuer
Das zu Asche uns verbrennt

Sengend grüßt mich deine Lohe
Sinnlich empfängt mich deine Glut
Schmeichelst mir mit wilder Flamme
Doch die Wärme tut nicht gut
Es träumt mein Herz vom Abenteuer
Der Verstand zu spät erwacht
Und so verbrenne ich im Feuer
Das ich selbst entfacht

Lass uns tanzen einen Reigen
Wie heiße Lava kocht das Blut
Lass uns tanzen endlos weiter
Mit den Flammen auf der Glut
Lass uns tanzen eng umschlungen
Keine Macht, die uns noch trennt
Und wir tanzen in dem Feuer
Das zu Asche uns verbrennt

In deinem Feuer
Bin tanzend ich gestorben
In wilder Nacht
Bin lustvoll ich verbrannt
Und so bläst der Wind
Am nächsten Morgen
Meine Asche
Weit übers Land

Lass uns tanzen einen Reigen
Wie heiße Lava kocht das Blut
Lass uns tanzen endlos weiter
Mit den Flammen auf der Glut

Lass uns tanzen einen Reigen
Wie heiße Lava kocht das Blut
Lass uns tanzen endlos weiter
Mit den Flammen auf der Glut
Lass uns tanzen eng umschlungen
Keine Macht, die uns noch trennt
Und wir tanzen in dem Feuer
Das zu Asche uns verbrennt

Lass uns tanzen
Lass uns tanzen
Lass uns tanzen
Wie heiße Lava kocht das Blut
Lass uns tanzen
Lass uns tanzen
Lass uns tanzen
Auf der Glut

",268286,1,"['Deutschland', 'Pop Genius']",1479940,60coSjRNnn9750i2hbRSq2
Dominoes,Syd Barrett,"

It's an idea someday
In my tears, my dreams
Don't you want to see her proof?
Life that comes of no harm
You and I, you and I and dominoes
The day goes by

You and I in place
Wasting time on dominoes
A day so dark, so warm
Life that comes of no harm
You and I and dominoes
Time goes by

Fireworks and heat someday
Hold a shell, a stick or play
Overheard a lark today, losing when my mind's astray
Don't you want to know with your pretty hair?
Stretch out your hand
Glad feel in an echo for your way

It's an idea someday
In my tears, my dreams
Don't you want to see her proof?
Life that comes of no harm
You and I and dominoes
The day goes by

",943854,31,['Rock Genius'],713911,2iQ2fs3joNeOhBMsxjw3x6
This Is Your Land,Point Of Grace,"

Phil Baggaley, Ian Blythe, Dave Clifton, Adrian Plass

Didn't anyone ever tell you
Didn't anyone ever say
Did you capture a vision of glory
As she held out her hand today
It's reaching to the broken heart
Right down to where you stand

Didn't anyone ever tell you
This is your land
Didn't anyone ever tell you
It doesn't matter the last will be first
For the sad and the meek and the righteous
And all those who will hunger and thirst
So let the poor in spirit know
These dreams are not of sand
Didn't anyone ever tell you
This is your land

You'll be given the robes of princes
You'll be flying on golden wings
You will live in pavilions of splendor
Be surrounded by beautiful things
So hold on to these promises
And keep them in your hand

Didn't anyone ever tell you
This is your land

",12226,3,['Pop Genius'],1709244,4TyZaHSYBKcnuA4u4Fk3Mz
ABC,American Juniors,"

[Group:]
Bo bo bo bo bo bo. Bo bo bo bo bo bo. Bo bo bo bo bo bo. Bo bo bo bo bo bo
[Lucy:]
You went to school to learn boy,the things you never never knew before
[Danielle:]
Like I before E except after C
[Lucy:]
And why 2 plus 2 makes 4, now now now. I'm gonna teach you, (teach you teach you) all about
Love, dear.(all about love)
[Chauncey:]
So just sit yourself down and take a seat. All you gotta do is repeat after me
[Group:]
A, B, C. Easy as 1, 2, 3. As Simple as do, re, me. A, B, C, 1, 2, 3, baby you and me boy
[Repeat x2]
[Chauncey:]
I'm gonna love you just a little bit
[Taylor:]
Come and let me love you just a little bit
[Danielle:]
I'm gonna teach you how to sing it out
[Lucy:]
Come on, come on, come on let me show you what it's all about. Reading, writing, arithmetic are
The branches of the learning tree
[Danielle:]
But without the rules of love everyday
[Lucy:]
Your education ain't complete. T-T-Teacher's gonna show you (show you show you) how to get
An A
[Chauncey:]
Spell me, you, add the 2. Listen to me baby, that's all you gotta do
[Group:]
A, B, C. Easy as 1, 2, 3. As Simple as do, re, me. A, B, C, 1, 2, 3, baby you and me boy. That's
How easy love can be. [Repeat x2]
[Lucy:]
It's easy, like counting up to 3, sing a simple melody, that's how easy love can be. 1, 2, 3
You and me!
[Group:]
Ohh yeah. Come on now!
[Taylor:]
Shake it, shake it baby. Come on now!
[Tori & Taylor:]
Shake it, shake it baby.Oh Oh 1, 2, 3, baby. ABC, baby. Do, re, me, baby
[Tori:]
That's how easy love can be
[Group:]
ABC, Easy as 1, 2, 3. Simple as do, re, me. ABC. That's how easy love can be
[Chauncey:]
I'm gonna teach you how to sing it out
[Lucy:]
Come on, come on, come on. Let me show you what it's all about. ABC
[Group:]
A, B, C. Easy as 1, 2, 3. Simple as do, re, me. A, B, C, 1, 2, 3, baby you and me boy. That's
How easy love can be
[Lucy:]
It's easy, like counting up to 3, sing a simple melody. That's how easy love can be
[Chauncey:]
I'm gonna teach you how to sing it out
[Lucy:]
Come on, come on, come on. Let me show you what it's all
[Danielle:]
About......
[Group:]
A, B, C. Easy as 1, 2, 3. Simple as do, re, me. A, B, C, 1, 2, 3, baby you and me boy. That's
How easy love can be
[Lucy:]
It's easy, like counting up to 3, sing a simple melody. That's how easy love can be!

A, B, C, 1, 2, 3, Do, re, me(repeat as it fades)

",9273,5,['Pop Genius'],778655,2hJDBnsn0pnKfFMD3AsXPM
Combat 77,Combat 77,"

Pop stars on MTV
Brainwashed society
All music sounds the same and no one's got a clue
Entertainment is so dumb
Audience blind and numb
They swallow everything the media tell them to
We don't want your pop star shit
We don't wanna be a part of it
Plastic rythm everyday
NO WAY!
Listen up girls and boys
COMBAT 77
Here's our call and here's our noise
COMBAT 77
Disco pop, what a hype
COMBAT 77
Rebel music never dies
COMBAT 77
Oi! Oi! Oi!
Lined up in a queue
They have nothing else to do
Than trying to sell their souls for a one time hit
All want to participate
In this stupid pop parade
Become so special but their minds are full of shit
We don't want your pop star shit
We don't wanna be a part of it
Plastic rythm everyday
NO WAY!
Listen up girls and boys
COMBAT 77
Here's our call and here's our noise
COMBAT 77
Disco pop, what a hype
COMBAT 77
Rebel music never dies
COMBAT 77
Oi! Oi! Oi!

",109681,19,['Pop Genius'],2056935,3uCDundXy5AQRtvDW7h4f1
Mannen,Stippenlift,"

[Verse 1]
Mannen zijn meestal irritant
Aggresief en bijdehand
De wereld is van hen
Jammer dat ik ook zo ben
Mannen zijn meestal dom
Zo macho zo stom
De wereld is van hen
Jammer dat ik mannen ken

[Verse 2]
Mannen sterven jong
Maar daar geven ze niet om
Ze willen alle macht
Ze willen dat je naar ze lacht
Mannen zijn een smet
Bederven al mijn pret
Kunnen ze niet anders zijn?
Kunnen ze niet liever zijn?

",47692,7,"['Pop Genius', 'Electronic', 'Nederland']",3436021,5Eeo1rZcQaHl5uePmWH130
Lifts You Up - Live,Beth Hart,"

I stole the outside
Running into the sun
I'm alive
I'm loud, as a golden gun
I killed my pride
So once again I'd see

Live and learn
You've fallen, one thousand times
I feel the burn
There's fire from a crazy sky
I sealed concern
So once again I'd be

[Chorus]
And it lifts you up
Then it puts you down
And it feeds you life
Then it lets you drown
While it holds your heart
Then it slowly tears you apart
And you know, that life is what I mean

If I could (and if I could)
You know, I'd stand on the rock
Where Jesus stood (where Jesus stood)
Innocence, and evil bad
And good (good, and good)
Walking side by side

[Chorus]
And it lifts you up
Then it puts you down
Then it feeds you life
Then it lets you drown
While it holds your heart
And it slowly tears you apart
And you know, you know, you know, life is what I mean

We got a way, of making up our minds (you know we have our minds)
How could I run, just leave it all behind?
When it breaks me up inside
Still I refuse to hide
And it is, just what it is
And that's all right

[Chorus]
And it lifts you up
Then it puts you down
And it feeds you life
Then it lets you drown
While it holds your heart
And it slowly tears you apart
And you know, you know, you know

[Chorus]
Then it lifts you up
Then it puts you down
Then it feeds you life
Then it lets you drown
While it holds your heart
And it slowly tears you apart
And you know, you know, you know, life is what I mean

And you know, you know, you know, life is what I mean
And you know, you know, and you know, life is what I mean

",136825,22,['Rock Genius'],222559,0rcU2VMOzydQ8PVQFdL1QG
Silver Bells,Neil Diamond,"

City sidewalks, busy sidewalks
Dressed in holiday style
In the air
There's a feeling of Christmas

Children laughing
People passing
Meeting smile after smile
And on ev'ry street corner you'll hear

Silver bells, silver bells
It's Christmas time in the city
Ring-a-ling, hear them sing
Soon it will be Christmas day

[Spoken:]
Yes, I remember
The silver bells of my youth
From the streets of Brooklyn
They rang up through my window
And made me smile

Strings of street lights
Even stop lights
Blink a bright red and green
As the mallers rush home
With their treasures

Hear the snow crunch
See the kids bunch
This is Santa's big scene
And above all this bustle
You'll hear Silver bells, silver bells
It's Christmas time in the city
Ring-a-ling, hear them sing
Soon it will be Christmas day
Soon it will be Christmas day

",294977,11,['Rock Genius'],228131,6IbL0SNjmC7Kex1lQCI53j
